question,answer,reference
Mujhe kisi apne se schizophrenia ka tashkhees hua hai. Main kaise madad kar sakta hoon?,"Hum fitratan un logon ki madad karna chahte hain jo behaal hain. Jab koi pyara jisay physical health ka masla ho, madad karna wazeh nazar aata hai, lekin mental illness jaise schizophrenia mein aksar log unsure hote hain ke behtareen madad kaise de. Kuch tips hain: Aapko schizophrenia ka expert hona zaruri nahi, magar iske bare mein zyada jan'nay se aap samajh sakte hain. Schizophrenia ke bare mein bahut myths hain, toh reputable resources dhoondein. Hamara Schizophrenia info sheet shuruaat ke liye acha hai. BC Schizophrenia Society se bhi bohat maloomat milti hai. Problems ya fikr par baat karna madadgar ho sakta hai. Yeh samajhna zaruri hai ke schizophrenia mein baat karna mushkil hota hai, aur iska symptom hallucinations aur delusions baat cheet ko mushkil banate hain. Jab koi pyara khul ke baat kare, usay dhyan se sunein baghair phone ya TV jaise distractions ke. Unki baat sun'nay ke liye waqt dein, chaahe wo usual se zyada waqt lein. Hamdardi aur bina judge kiye sunein. Agar aap masla samajh na paayein, ya nazariya mukhtalif ho, to bhi aapka concern pyare ke dukh ya mushkil jazbat hone chahiye. Family Toolkit ke Module Three mein communication aur sun'nay ke detailed tareeqay hain. Kuch log sab baatein ek sath ya kabhi bhi baat karne ko tayar nahin hote, is baat ka lehsan rakhein. Schizophrenia ke symptoms jaise hallucinations (wo ehsaas jo asal mein nahin hote, jaise awaazain sun'na) ya delusions (yakeen jo sach nahin ho sakte, jaise peechha kiya ja raha ho) ka thodi der mein khatam hona mushkil hota hai, chaahe ilaaj ho raha ho. In symptoms ko psychosis kehte hain. Kai log pyare ki hallucinations ya delusions ko respond karne mein mushkilat mehsoos karte hain. In par behas karna behtareen nahin. Yaad raha ke delusions schizophrenia ke symptoms hain, yeh sochain nahin jin se baat kar ke hataa diya ja sake. Kahiye ke unke experiences jhoot ya asal nahin hain yeh madad nahin karta jabke unke liye bohat asli hotay hain. Behtar tareeqa yeh hai ke aap un jazbat ko samjhein jo hallucinations ya delusions ke sath aate hain, bina tasdeeq ya rad kiye. Misal ke taur par agar pyara awaaz se pareshan ya ghabrahat mehsoos kar raha ho toh na kaho 'tum theek ho, yeh sach nahin hai' balkeh keh sakte hain 'Main soch sakta hoon ke yeh awaaz kitni takleef deh hai. Main samajh sakta hoon ke yeh aapko darata hai.' Behtareen ilaaj aur support ke sath, hallucinations aur delusions ko log manage karna asaan samajhte hain. Poochein ke aap kaise madad kar sakte hain. Serious mental illness jaise schizophrenia mein log future planning karte hain, jese advanced directives ya Ulysses Agreements, taki jab woh sehatmand hon unki khwahishat care team aur loved ones tak pohnchen. Apne pyare se poochhein ke kya un k pass koi plan hai taake pata ho jab madad chahiye ho to kya karna hai. Zyada maloomat ke liye BC Schizophrenia Society dekhe. Agar psychosis ka episode ho raha ho ya recovery ho rahi ho to extra madad chahiye hoti hai. Jaise hallucinations ya delusions walay shakhs ko zyada fursat aur kam logon ke marhomat chahiye hotay hain, ke unko bheed ya aankhon se mulakaat se bhi takleef ho sakti hai. Recovery ke waqt araam aur khamoshi chahiye hoti hai. Kuch log jald apni routine mei wapis aa jate hain, jabke kuch ko mehnat aur waqt lagta hai. Zyada madad kabhi kabhi nuksan deh bhi ho sakti hai. Aap ke liye acha ho ga ke pyare ke kaam khud samhaalain, lekin activity aur confidence dobara hasil karna recovery ka aham hissa hai. Pyare ko encourage karen ke din me zimmedari lein, aur jab wo madad chahen bataen. Schizophrenia mushkil bimari hai sab ke liye. Psychosis mein pyara khaufnak ehsaas kar sakta hai jo samajhna mushkil ho. Wo aam rawaiye se farq kar sakte hain. Schizophrenia ke dusre symptoms jazbat zahir karna, communication aur dilchaspi ko mushkil banate hain. Yeh sab illness ke symptoms hain, kisi ki galti nahin, magar in se coping mushkil hota hai. Apne liye family aur friends support group ka rujoo karein. Apna routine jaise exercise aur shauq jari rakhein. Kisi aur family member ya dost se madad lein takay caregiving mein madad mile, khaas taur par shuruat mein.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Prion Disease kya hai,"Ek tezi se barhta hua neurocognitive disorder hai jo transmissible spongiform encephalopathies ki wajah se hota hai, jis se shadid motor ataxia aur dementia paidah hoti hai.",Oxford Textbook of Psychiatry
Zeheni sehat ke professionals mein farq kya hai?,"Zeheni sehat ke bohat se qisam ke professionals hain. Alag alag providers aur unki khidmat samajhna mushkil ho sakta hai. Har ek ke pataward aur talim mein farq hota hai, aur unke maharat ke ilaqe bhi mukhtalif hote hain. Jo professional aapke zarurat ke liye behtareen ho usay dhoondhna kuch tehqiqat talab kar sakta hai.",World Health Organization Mental Health Manual
Mujhe chhote ghar ke kaamon se itna zahni bojh kyu mehsoos hota hai?,Yeh aksar executive dysfunction hota hai. Ek chhota sa kaam chunain jaise sirf do plates dhona aur baaki abhi ignore karain.,World Health Organization Mental Health Manual
Humor defense mechanism kya hai,Ek adaptive strategy jo fard ko yaqeeni tor par bohat takleef deh halaat ka samna karne deti hai aur unke ironical ya mazaaqia pehlu ko numayan karti hai.,American Psychological Association Clinical Guidelines
All or Nothing Thinking kya hai,"Ek distortion jisme fard zindagi ke tajurbe ko bilkul do hisso mein taqseem karta hai jaise ke kamyabi ya nakami, aur beech ka koi pehlu nahi dekhta.",Beck Institute for CBT
Poverty of Content of Speech kya hai,Aisi guftagu jo lafzon ke itraaf mein kaafi ho lekin be-maani ya khali jumlon ki wajah se kam maloomati ho.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Borderline personality disorder ke liye maloomat aur madad kahan milegi?,"Borderline personality disorder ya BPD aik ilaaj hone wala marz hai. Is mein paanch qism ke symptoms hotay hain jo rawaiyat, jazbaat, talluqaat, shanakht ka ehsas, aur aagahi ke gird idaaray jaate hain. Aap hamari info sheet borderline personality disorder par padh sakte hain.",World Health Organization Mental Health Manual
Hello,Hello. Barae meharbani batayein ke aaj main aap ki zehni sehat ke sawaalat mein kaise madad kar sakta hoon.,OpenAI Clinical System Framework
Vaping par kya saboot hain?,"Vaping ka matlab hai ek aisi device ka istemaal jisme liquids, aksar maze daar flavor ke saath, vapour ban jata hai, isliye ise vaping kehte hain aur use saans ke zariye andar liya jata hai. Ek vaping device mein mouthpiece, tank ya reservoir hota hai liquid rakhne ke liye, ek heating element aur ek battery hoti hai jo heating element ko chalati hai. Liquid garam kar ke mist ban jata hai, jo munh se lungs mein jata hai jahan nicotine ya cannabis khoon mein ghultsata hai. Bacha hua vapour saans ke zariye bahar nikala jata hai. Vaping devices mukhtalif qisam ke, shakal aur size ke hote hain, jinhein e-cigarettes, vape pens, vapes, mods, tanks, ya e-hookahs kehte hain. Vaping liquids yani e-liquid ya e-juice solvent (amuman propylene glycol ya glycerol), flavor aur nicotine ya cannabis se mil kar banta hai, lekin kabhi kabhi yeh khali bhi ho sakta hai. British Columbia mein vaping products kharidne ke liye aap ki umr 19 saal honi chahiye. Cigarette peene wale jawaanon ki tadaad pichlay chand salon mein kam hui hai jabke vaping barh rahi hai. E-cigarettes ko smoking ke badal ke taur par develop kiya gaya tha. Pehle devices 2003 mein available hue the aur dikhne mein traditional cigarette jese lagte thay. Nicotine vapour mein significantly kam zaheer aur doosray zarraat hotay hain muqable cigarette ke dhuan ke. Vaping cigarettes ki muqable kam nuksaan-deh hai aur saboot yeh bhi dikhata hai ke yeh kuch logon ko cigarette chorne mein madadgar ho sakta hai. Saboot yeh zahir karta hai ke vaping shayad tobacco smoking ke liye gateway nahi hai. Halanke cigarettes ke muqable kam nuksaan deh hai, vaping ke bhi mumkin nuksaan hain. Nicotine aur mumkin cancer paida karne wale maadey ka halka exposure hota hai vapour mein. Carcinogen wo madah hai jo cancer paida kar sakta hai. Kuch saboot yeh kehte hain ke jawaan log jaante nahi ke vaping liquid aksar nicotine rakhta hai. E-cigarettes control nahi hote aur vaping liquids mein nicotine ki miqdaar brands ke mutabiq kafi farq karti hai. Vaping liquids mein maujood dusre chemicals, flavourings, aur bharay huay dhatu abhi tak theek tareeke se parakhe nahin gaye. Lambe arsey ke sehat ke khatrey abhi tak maloom nahi hain. Mazeed research ki zaroorat hai. Vaping products ki marketing, zyada tar social media par, jawaanon ko attract karne ke liye design ki jati hai. Un flavors ki range jo fruity aur meethi hoti hai, aur vaping devices ka look aur feel naujawanon ko pasand aata hai. Jawaan log vaping ko mazeed aur doston ke saath guftagu ka zariya samajhtay hain aur kam nuksaan-deh tareeke se smoke karte hain. Vaping par guftugu ke liye waqt aur jaga banana ek zaroori tareeqa hai jis se hum jawaanon aur ek dosray ko madad de sakte hain ke wo behtareen faislay kar saken ke kya, kab aur kitni vaping karni chahiye. Hum offer karte hain, zyada nahi, har waqt nahi, aur mehfooz mohol mein, jo kisi bhi maadey ke istemaal par sochnay ka tareeqa hai.",World Health Organization Mental Health Manual
