Questions,Answers,References
Zeheni bemari ki mani kya hoti hai?,"Zeheni bemariyan aise sehat ke halat hote hain jo shakhs ke khayalat, jazbat, rishtedari aur rozana zindagi ke funke munazzam karte hain. Ye pareshaani aur rozana zindagi ke mamul ke kam kaj mein kamzori se mutaalliq hoti hain. Zeheni bemariyan sakhti ke ek musir par hoti hain; kuch halki hoti hain aur sirf zindagi ke chand pehluon ko mushkil karti hain, jaise ke chand fobiyaan. Spectrum ke doosre kinaare par sangeen zeheni bemariyan hoti hain, jo bari ta'sir aur rozana zindagi mein badhawat paida karti hain. In mein bari depression, schizophrenia, aur bipolar disorder shamil hain, aur aksar shakhs ko aspatal mein ilaaj karna parta hai. Yeh zaruri hai ke jana jaye ke zeheni bemariyan tibbi halat hain jin ka shakhs ke kirdar, zaheenat, ya iradi quwwat se koi talluq nahin hota. Jaise ke diabetes pancreas ke fauad mein ek beemari hai, waise hi zeheni bemari dimagh ki biological halat ki wajah se hoti hai. Bil mushabahah jaise diabetes ka ilaaj dawa aur insulin se hota hai, zeheni bemari ka ilaaj dawaon aur samaji madad ke mubtadil tareeqe se hota hai. Ye ilaj bohat mofid hain, jahan 70-90 fisad afrad ko ilaj se apne alamat mein kami aur behtareen zindagi ka tajurba hota hai. Munasib ilaj ke sath, zeheni bemari shuda shakhs ke liye mustaqil aur kamyab hona bohat mumkin hai.",World Health Organization Mental Health Manual
Zeheni bemari ke kuch khabar dainay walay nishane kya hain?,"Zeheni sehat ke amraz ke alamat halat ki qisam aur shiddat par munhasir hote hain. Niche aam alamat ki fast hai jo zeheni amraz ki uztarab ka isharah de sakti hain, khasusan jab kai alamat aik sath zahir hon. Baligh afrad mein: Gumrah sochna, lambi muddat tak udasi ya jalan, jazbat mein behad ooi aur neechai, ziada khauf, fikr, ya tashweesh, samaji tanhai, khane ya sone ke udalis tabdili, shadid gussa, wahm ya hasasat (aise cheezein dekhna ya sunna jo asal mein nahin hoti), rozana araz aur masail se nitjhanay ki qabiliyat mein izafah, khudkushi ke khayalat, saf masail ko na manna, anek ghair wazeh jismani masail, daru aur madah-e-muzahmat ka istimal. Balgh bachon aur puri umr ke bachon mein: Daru aur madah zat ka istemal, rozana masail se nitjhanay mein nakami, sone ya khane ki adat mein tabdili, jaismi shikayat mein ziadti, hukumat ke mukhalaf kirdar, school chorna, chori karna ya asqaat ko nuqsan pahunchna, wazan barhnay ka shadid khauf, lambi muddat tak manfi jazbat, aksar gusse ke phatne. Chhotay bachon mein: School mein kar gardi mein tabdili, mazbut koshish ke bawajood kharab numbr, ziada fikr ya tashweesh, zyada activity, musalsal buri khwab, musalsal nafarmani aur shadid rawaiyye, bar bar gusse ki jhalak.",World Health Organization Mental Health Manual
Kya zeheni bemari shuda afrad sahi ho sakte hain?,"Zeheni bemari se shifa yab hone ke liye jaldi shanasai aur ilaaj bohat zaruri hota hai. Bemari ke fitrat ke mutabiq, mukhtalif moasar ilaj dastiyab hain. Kisi bhi qisam ke ilaj ke liye, zaruri hai ke mutaasir shaks apne recovery process mein full tor par hamil ho aur purjosh rahe. Bohat se zeheni bemari walay afrad jo tashkhis aur ilaaj karwate hain achi response dete hain, halankah kuch log apne alamat wapas aate hue mehsoos karte hain. Aisa hone par bhi, masulah talim aur behtareen intizam ke sath bemari ko qabu karte huway waqi lifetful aur masroof zindagi guzarna mumkin hai.",World Health Organization Mental Health Manual
Agar mujhe kisee shakhs mein zeheni bemari ke alamat nazar aayen toh mujhe kya karna chahiye?,"Yeh website professional mashwaray ka badal nahin ho sakti, lekin hum un afrad se tawajjoh karte hain jo apne alamat ki bat doston aur ghar walon se karein aur zeheni sehat ke professional se mushwarah lein. Jitni jald zeheni halat ki tashkhis aur ilaaj ho jaye, utni jaldi woh behtari ki taraf barh sakte hain. Agar aap kisi ko problems mein dekhte hain, toh yeh mat samjhein ke masla khud ba khud hal ho jaye ga. Unhain dikhayen ke aap unki fikr karte hain aur ke ilaj ke options dastiyab hain jo unki madad kar sakte hain. Agar aapko lagta hai ke aapke dost ya ghar walay ko zeheni bemari ke alamat hain, toh zeheni sehat ke professional ya counselor se baat karein. Agar mutaasir shaks ko pata chal jaye ke aap unka saath dete hain, unke liye madad talash karna asaan ho jayega.",World Health Organization Mental Health Manual
Apne liye ya apne bache ke liye zeheni sehat ka expert kaise dhoondh sakta hoon?,"Jis professional ke saath aap ya aapka bacha kaam kar raha hai us se comfortable feel karna ilaj ki kamyabi ke liye bohat zaruri hai. Jo professional aapki zarurat ke mutabiq ho, usse dhoondhna kuch tehqiqat talab kar sakta hai. Shuruaat apne ilaqay mein providers ki talaash karte hue karein.",World Health Organization Mental Health Manual
Ilaaj ke kya options dastiyab hain?,"Jis tarah jismani bemari ke liye mukhtalif dawayen hote hain, waise hi zeheni bemari walay afrad ke liye mukhtalif ilaj ke options hote hain. Ilaj har shakhs ke liye mukhtalif tareeqe se kaam karta hai. Yeh zaruri hai ke aap ya aapka bacha ke liye behtareen ilaj dhoondha jaye.",World Health Organization Mental Health Manual
"Agar main ilaaj mein shamil ho jaoon, toh mujhe kya jaanna chahiye?","Ilaaj shuru karna afrad aur unke khandan ke liye ek bara qadam hota hai, is liye yeh kabir sabh ho sakta hai. Yeh zaruri hai ke ilaj ke amal mein jyada se jyada hissa liya jaye aur muta'alliq riport aur sawalat ke jawab lein. Kuch sawal jo aapko pus'ne honge un mein shamil hain: Is bemari ki wajah ke mutalliq kya malumat hain? Kya aur tashkhis hain jahan yeh alamat aam hain? Kya aam tor par physical ya neurological imtehan shamil hota hai? Kya is waqt kuch aur tests ya imtehanat ki sifarish karte hain? Kya aap is moqay par satuh azad rai mashwara dain gey? Is tashkhis ke liye kaunsa ilaj ka program behtareen mana jata hai? Kya is program mein dusre specialists ki khidmat bhi shamil hogi? Agar haan, to in khidmat ka tanzim kon karega? Khandan ki is program mein kifayat kya samjhte hain? Khandan ko ilaj faraham karne walon se kitna dakhl-e-rasi hasil hoga? Iss tashkhis ke liye aam tor par kaunsi dawayein istimal ki jati hain? Is bemari ke ilaaj mein aapka tajarba kitna hai? Main ilaj mein aapki madad ke liye kya karsakta hoon?",World Health Organization Mental Health Manual
Zeheni sehat ke professionals mein farq kya hai?,"Zeheni sehat ke bohat se qisam ke professionals hain. Alag alag providers aur unki khidmat samajhna mushkil ho sakta hai. Har ek ke pataward aur talim mein farq hota hai, aur unke maharat ke ilaqe bhi mukhtalif hote hain. Jo professional aapke zarurat ke liye behtareen ho usay dhoondhna kuch tehqiqat talab kar sakta hai.",World Health Organization Mental Health Manual
Apne ya apne bache ke liye munasib zeheni sehat ka professional kaise dhoondhu?,Jo professional aap ya aapka bacha apna ilaj kar raha hai uske sath rahat mahsoos karna aapke ilaj ki kamyabi ke liye zaruri hai. Jo professional aapki zarurat ke mutabiq ho usay dhoondhna kuch tehqiqat talab kar sakta hai.,World Health Organization Mental Health Manual
"Agar main ilaaj mein shamil ho jaoon, toh mujhe kya jaanna chahiye?","Ilaaj shuru karna afrad aur unke khandan ke liye ek bara qadam hai aur aksar bohat sab hota hai. Yeh zaruri hai ke ilaaj ke amal mein mumkina hayata tak shamil raha jaye. Kuch sawal jo aapko pus'ne honge un mein shamil hain: Is bemari ke sabab ke mutalliq kya malumat hain? Kya aur tashkhis hain jahan alamat aam hain? Kya aap aam tor par physical ya neurological imtehan shamil karte hain? Kya is waqt kuch aur tests ya imtehanat ki sifarish karte hain? Kya aap is moqay par azad rai mashwara dain gey? Is tashkhis ke liye behtareen ilaj ka program kya hai? Kya is program mein aur specialists shamil honge? Agar haan, to in khidmat ka tanzim kon karega? Khandan ki is program mein kifayat kya hai? Khandan ko ilaaj dene walon se kitna rabta hoga? Iss tashkhis ke liye kaun si dawayen aam tor par istimal hoti hain? Is dawa ka biological asar kya hai, aur is se kya ummeed hai? Dawe se kya khatarat hain? Kitni jald musar art ka pata chale ga aur ise kaise janchen ge? Aapka is bemari ke ilaaj ka tajarba kitna hai? Main ilaaj mein aap ki madad ke liye kya kar sakta hoon?",World Health Organization Mental Health Manual
